"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"64","Marquise Goodwin","CLE","11","WR28","67","","","55","","67.0"
"65","Emmanuel Sanders ","","","WR29","63","","","67","","67.0"
"66","Rex Burkhead","","","RB26","66","","","66","","69.8"
"67","Drew Brees","","","QB6","69","","","76","","71.4"
"68","Tevin Coleman","","","RB27","72","","","69","","71.8"
"69","Julian Edelman ","","","WR30","91","","","70","","72.2"
"70","Delanie Walker ","","","TE7","59","","","78","","73.0"
"71","Alshon Jeffery","","","WR31","88","","","83","","73.4"
"72","Kyle Rudolph","","","TE8","71","","","81","","77.2"
"73","Kerryon Johnson ","","","RB28","107","","","72","","77.8"
"74","Jamaal Williams","NO","6","RB29","98","","","79","","78.0"
"75","William Fuller V ","","","WR32","92","","","63","","79.8"
"76","Sammy Watkins","","","WR33","74","","","94","","80.2"
"77","Carson Wentz","LAR","12 ","QB7","73","","","88","","81.2"
"78","Robert Woods","HOU","10","WR34","64","","","93","","82.4"
"79","Sony Michel","","","RB30","125","","","77","","82.8"
"80","Devin Funchess","","","WR35","77","","","92","","82.8"
"81","Rashaad Penny","PHI","9","RB31","112","","","90","","83.6"
"82","Jordan Reed ","","","TE9","79","","","64","","84.6"
"83","Cooper Kupp","LAR","12 ","WR36","89","","","91","","85.0"
"84","Trey Burton ","","","TE10","111","","","82","","85.6"
"85","Tarik Cohen","CAR","4","RB32","105","","","84","","85.6"
"86","Duke Johnson Jr.","","","RB33","76","","","80","","86.6"
"87","Kirk Cousins","MIN","10","QB8","87","","","97","","88.0"
"88","Jamison Crowder","WAS","4","WR37","102","","","74","","88.4"
"89","Robbie Chosen","MIA","11","WR38","83","","","89","","89.8"
"90","Chris Carson","","","RB34","82","","","62","","90.4"
"91","Andrew Luck","","","QB9","81","","","95","","92.0"
"92","Pierre Garcon ","","","WR39","86","","","87","","92.6"
"93","Jordy Nelson","","","WR40","100","","","101","","93.2"
"94","Isaiah Crowell ","","","RB35","106","","","73","","94.8"
"95","Matthew Stafford","LAR","12","QB10","104","","","86","","97.0"
