#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
140,Cole Kmet,TE,CHI,0,0,6,4.6,8.5,2.5,5.2,9.1,22,23.4,6.5,5.7,13.2,BYE,6.5,7.7,10.7,,8.2,131.6
141,Dallas Goedert,TE,PHI,9,13.2,11.6,12.2,17.5,4.2,BYE,12.4,24,9.3,-,-,-,-,-,9.7,7.5,,11.9,130.6
142,Baltimore Ravens,DST,BAL,11,7,11,5,6,6,12,5,10,BYE,17,5,6,11,7,8,3,,8.1,130
143,Gerald Everett,TE,LAC,14.4,13.1,4.5,17.1,1.2,7.9,11.3,BYE,8.6,4.3,-,7.8,13,7.8,8.2,-,10.5,,9.3,129.7
144,Chase McLaughlin,K,TB,-,0,11,5,17,9,6,11,4,9,12,7,9,-,21,4,4,,8.6,129
145,Darius Slayton,WR,NYG,-,-,-,2.1,13.9,2.8,14.8,11.6,BYE,18.5,13.6,9.3,15,6.2,7.3,11.9,1.4,,9.9,128.4
146,Tyler Conklin,TE,NYJ,11.6,10,16.4,8.2,0,2.7,6.2,25.9,1.7,BYE,3.5,8,2.9,7.8,1.9,7.4,14,,8,128.2
147,Brandon McManus,K,JAC,11,12,5,5,11,13,4,3,-,4,14,4,14,4,8,9,7,,8,128
148,David Njoku,TE,CLE,1.7,6.2,23.9,9.7,14.8,8.8,14.1,-,BYE,-,3.7,13.9,-,18.7,5.8,3.4,3.1,,9.8,127.8
149,Ryan Succop,K,FA,15,10,8,8,8,14,3,10,12,3,-,6,5,1,5,15,4,,7.9,127
150,Dawson Knox,TE,BUF,1.5,8.1,6.5,7,-,12.7,BYE,9,5.5,9.7,14,3.7,0,14.1,21.8,12.8,-,,9,126.4
151,Ka'imi Fairbairn,K,HOU,10,11,8,7,11,BYE,10,5,5,11,4,3,7,16,6,7,5,,7.9,126
152,Cam Akers,RB,MIN,0,8.2,10.1,1.3,3.3,-,BYE,-,0.3,2.2,6.1,3.7,19,9.3,13,34.7,14.3,,9,125.5
153,D'Onta Foreman,RB,CHI,0.5,0.9,-,0.2,0.2,1.9,16.5,31.8,4.1,19,2.4,11.3,-,8.5,0.9,22.5,3.5,,8.3,124.2
154,Brandin Cooks,WR,DAL,15.2,9.4,4.2,18.7,6,-,8.6,11.3,BYE,8.2,10,11.1,-,-,-,13.4,7.9,,10.3,124
154,Jason Sanders,K,MIA,10,6,3,10,6,5,12,8,5,9,BYE,13,6,7,12,9,3,,7.8,124
154,Jacksonville Jaguars,DST,JAC,6,21,9,9,5,-1,1,5,5,6,BYE,5,-2,12,12,14,17,,7.8,124
157,Michael Carter,RB,ARI,17,10,5.6,4.9,17.3,5.7,9.4,10.1,15.6,-,2.7,5.6,BYE,3,4.1,10,2.5,,8.2,123.5
158,Evan McPherson,K,CIN,8,13,10,11,6,8,5,1,6,BYE,17,9,10,5,9,4,1,,7.7,123
159,Baker Mayfield,QB,TB,19,13.3,10.7,7.9,7.6,-,-,-,14.2,-,7,-,-,14.2,7.5,17.4,4.1,,11.2,122.9
160,Isiah Pacheco,RB,KC,12.2,0.6,0.9,6.3,0,3.8,4.3,BYE,1.9,6.2,10.7,15.6,16.2,12.3,8.7,10,12.9,,7.7,122.6
161,Matt Gay,K,IND,6,7,9,9,4,6,-,2,7,5,10,5,14,7,8,19,4,,7.6,122
162,Taylor Heinicke,QB,ATL,-,-,-,-,-,-,15.4,23.1,14.7,6.4,7.8,12.4,17.6,BYE,13.3,11.2,-,,13.6,122
