#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
87,Wil Lutz,K,DEN,11,8,8,5,-,13,3,16,12,5,8,7,8,10,12,12,9,9.2,147
88,Tavon Austin,WR,FA,5.5,10.6,21.4,2.8,15.5,5.6,22.7,-,2.8,4.9,3.9,15.5,-,15.9,5.7,12,2,9.8,146.8
89,Alshon Jeffery,WR,FA,14.5,14.6,12,7.6,12.7,16.3,6.3,16.3,-,8.7,-,-,-,-,20.9,14.2,2,12.2,146.1
90,Arizona Cardinals,DST,ARI,6,23,8,5,15,12,8,3,BYE,6,5,1,6,7,7,8,26,9.1,146
91,Jack Doyle,TE,FA,18.5,7.7,12.5,1.6,2.8,15.3,22.8,5.6,11.1,-,1.7,4.5,5,10.5,7.2,9.6,9,9.1,145.4
92,Duke Johnson Jr.,RB,FA,8,9.6,13.1,11.6,4.2,17.4,7.3,17.6,6.6,6.1,8.6,7,-,5.5,14.3,6.9,0.4,9,144.2
92,Eric Ebron,TE,FA,15.6,9.3,11.9,8.2,-,-,-,14.9,16.2,-,16.1,0,7.8,7.2,7.6,17.3,12.1,11.1,144.2
94,Devontae Booker,RB,FA,-1.2,6.1,3.5,3,9.9,7.3,15.7,17.4,4,10.8,-,11.1,10.7,3.1,5.3,11.1,24.9,8.9,142.7
95,New York Giants,DST,NYG,1,13,3,0,4,2,21,BYE,7,6,7,23,6,13,12,3,20,8.8,141
95,Graham Gano,K,NYG,9,18,5,7,2,7,-,15,7,6,13,2,1,17,15,11,6,8.8,141
97,Ty Montgomery II,RB,FA,0,0,-0.1,-,0.1,18.4,22.6,-,12.1,4,7.4,3.4,7.6,17.6,30.3,8,9.1,9.4,140.5
98,Stephen Gostkowski,K,FA,14,7,9,0,7,10,3,13,-,6,6,11,17,4,12,11,10,8.8,140
98,Dan Bailey,K,FA,17,9,8,6,4,13,-,12,5,14,9,8,5,1,15,6,8,8.8,140
98,Taylor Gabriel,WR,FA,-,3.9,5.3,7.9,0,1.6,-,15.8,18.6,14.6,-,26.2,9.4,17.2,15,4.5,-,10.8,140
101,J.J. Nelson,WR,FA,2.1,-,0,3.4,0,5.9,11.8,27.9,-,2.9,1,5,11.2,19.4,14.8,22.2,11.5,9.3,139.1
102,Minnesota Vikings,DST,MIN,21,12,20,8,10,BYE,8,2,3,3,14,3,8,6,-1,0,22,8.7,139
102,Cairo Santos,K,CHI,10,15,6,2,-,9,10,13,15,13,5,8,3,3,5,9,13,8.7,139
104,Stephen Hauschka,K,FA,6,3,13,11,-,10,7,9,8,14,8,4,16,4,7,5,13,8.6,138
105,T.J. Yeldon,RB,FA,16.9,11.8,4.8,15.7,-,3.6,3.8,9.6,15.5,8.9,5.2,3,11.2,16,11.2,0.5,-,9.2,137.7
106,Jason Myers,K,SEA,13,2,6,14,BYE,5,11,2,2,10,9,3,5,13,10,19,10,8.4,134
107,Ryan Fitzpatrick,QB,FA,15.1,21.1,-2.3,8.9,15.1,5.2,8.7,14.4,10.4,-,-,16.9,1.5,-,0.3,1.7,16.4,9.5,133.4
108,Adam Humphries,WR,FA,7.1,12.7,19,1.4,4.1,-,4.3,8.8,15.6,9.8,8.7,3.1,3.9,-,12.9,2.2,19.4,8.9,133
108,Tampa Bay Buccaneers,DST,TB,3,0,10,4,9,BYE,11,3,0,24,5,19,12,11,5,1,16,8.3,133
110,Brandon McManus,K,JAC,3,15,5,9,12,8,9,9,11,13,-,10,9,4,3,6.6,6,8.3,132.6
111,Travis Benjamin,WR,FA,10.2,29.4,10.2,6.8,18.7,2.7,9.4,13.4,1.5,-,-,1.8,4.4,-0.2,13.6,10.5,-,9.5,132.4
112,Hunter Henry,TE,NE,3,0,10.2,16.1,16.4,20.3,2.6,3.4,BYE,9.1,-,10,2.4,9.3,12.7,0,14.3,8.7,129.8
113,Mason Crosby,K,NYG,9,2,11,-,12,11,9,6,8,7,6,9,3,8,12,9,7,8.1,129
114,Chris Hogan,WR,FA,15,9.9,1.3,0,15.6,4.9,2.5,19.1,-,0,-,11,12.3,24.6,2.8,3.2,6.7,8.6,128.9
115,Philadelphia Eagles,DST,PHI,11,10,16,BYE,6,8,18,3,4,5,2,0,3,10,7,13,12,8,128
116,New England Patriots,DST,NE,3,8,18,3,10,5,3,2,BYE,3,6,7,12,7,17,17,5,7.9,126
116,Josh Lambo,K,FA,9,8,11,11,7,13,17,1,13,7,-,3,3,4,4,6,9,7.9,126
118,Tyler Boyd,WR,CIN,4.4,11.8,4.8,2,6.3,11.9,1.3,9.1,BYE,3.2,17.4,11.2,10.6,14.9,3.3,4.5,7.4,7.8,124.1
118,Tyler Lockett,WR,SEA,4.7,13.9,0,2.3,BYE,5.5,3.3,7.2,4,10.2,5.9,0.9,24.8,9.6,26,5.8,-,8.3,124.1
120,Carolina Panthers,DST,CAR,8,14,2,7,3,-1,BYE,19,10,6,9,4,1,18,8,4,12,7.8,124
121,Giovani Bernard,RB,FA,5,24.7,9.4,7.2,15.6,13.4,15.7,13.6,-,6.6,11.1,-,-,-,-,-,-,12.2,122.3
122,William Fuller V,WR,FA,21.7,14.4,6.1,21.1,1.4,-,6.2,3.3,-,-,2.7,10,10.9,4.2,7.9,6.9,5.4,8.7,122.2
123,Baltimore Ravens,DST,BAL,6,11,12,1,6,7,16,BYE,12,14,1,8,15,6,3,3,1,7.6,122
124,Los Angeles Chargers,DST,LAC,4,9,12,2,4,12,5,13,14,3,-,13,3,3,7,10,5,7.4,119
124,Ryan Succop,K,FA,4,5,4,9,7,4,10,12,5,13,6,9,-,10,9,6,6,7.4,119
126,Robert Woods,WR,HOU,6,2,11.1,15.9,4.6,16,-,9,26.2,-,7.1,-,-,3.9,1.5,7.3,8.3,9.1,118.9
127,Seattle Seahawks,DST,SEA,10,7,3,11,BYE,8,13,10,7,6,7,7,8,-3,11,2,9,7.3,116
128,Jalen Richard,RB,FA,17.5,3.7,5.1,3,15.7,3.2,1.1,5.7,9.2,-,14.2,2.3,5.3,2.9,8.9,16.9,0.8,7.2,115.5
129,Robbie Chosen,WR,MIA,0,0,5.4,3.2,2,6.4,10.1,6.1,8.9,9.9,-,3.4,16.1,17.1,18,0,8.3,7.2,114.9
130,Vernon Davis,TE,FA,3,10.1,0,1.8,4.5,13,13.9,14.3,-,15.6,0,11.8,9.7,1.1,6.3,2.3,6.9,7.1,114.3
131,Cordarrelle Patterson,RB,ATL,2.4,-0.2,1.8,9,14.6,-,19.7,6.6,10.5,4.7,9.3,8.7,3.6,4.8,9.9,3.3,4.9,7.1,113.6
132,Nick Folk,K,TEN,11,13,3,5,8,3,6,7,11,0,-,7,4,11,8,3,12,7,112
133,Case Keenum,QB,HOU,2.2,10.1,13.7,18,6.8,29.5,7.9,-,13.8,7.7,-,-,-,-,1.3,-,-,11.1,111.1
134,Atlanta Falcons,DST,ATL,1,0,11,11,9,2,13,2,5,4,BYE,5,4,26,8,7,3,6.9,111
135,Chris Boswell,K,PIT,9,7,4,5,8,1,12,BYE,2,6,10,4,-,9,23,7,3,7.3,110
136,Pittsburgh Steelers,DST,PIT,5,6,-1,9,7,0,4,BYE,6,0,22,11,9,8,4,4,12,6.6,106
137,Derrick Henry,RB,TEN,6.4,5.9,4.5,0.9,5.4,4.7,0.3,19.7,-,3.1,0,12,BYE,5.7,17.8,5.5,13.8,7,105.7
138,Tajae Sharpe,WR,FA,14.6,7.3,7.8,3.5,3.7,0.1,9.9,2.1,9.8,15.8,16.8,3.1,-,0,3,7.8,0,6.6,105.3
139,Ryan Griffin,TE,FA,3.7,1.5,13.2,8.4,2.8,6.1,3.3,6.4,-,9.7,6.2,7.6,11.5,4.3,16.5,0,3,6.5,104.2
140,Miami Dolphins,DST,MIA,12,3,7,1,0,7,4,BYE,7,17,7,6,0,14,22,1,-4,6.5,104
141,John Brown,WR,FA,1.8,2.4,13,24.4,2.1,10.4,-,14.9,-,6,0,2.9,0,0,19.1,2.2,4.5,6.9,103.7
142,Buffalo Bills,DST,BUF,10,5,22,15,17,6,0,1,4,BYE,9,2,-4,6,9,1,0,6.4,103
143,Donte Moncrief,WR,FA,18.4,1.9,-,-,-,-,-,14,14.5,-,13.7,16.5,12.6,0,-,11,-,11.4,102.6
144,Breshad Perriman,WR,FA,4.5,5.2,4.4,5.4,3.1,7.8,2.1,-,6.3,15.4,0,8.4,13.9,8.2,0,6.2,10.2,6.3,101.1
